Index, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09, Ch10
0,22114.27734375,18790.365234375,35772.85546875,32782.30078125,50704.08203125,15707.6142578125,27159.931640625,23125.912109375,0,0
1,22155.5,18817.974609375,35832.8125,32736.115234375,50753.07421875,15880.2763671875,27109.150390625,23019.33984375,0,0
2,22158.02734375,18761.302734375,35840.8671875,32698.82421875,50722.4375,15849.3779296875,27131.46484375,23054.48046875,0,0
3,22116.6875,18694.734375,35790.42578125,32726.07421875,50651.08203125,15663.3154296875,27182.24609375,23174.384765625,0,0
4,22085.025390625,18707.396484375,35744.55078125,32776.88671875,50636.3671875,15572.90625,27203.728515625,23221.921875,0,0
5,22109.484375,18788.02734375,35773.28125,32780.1484375,50698.33203125,15706.7314453125,27157.40234375,23121,0,0
6,22153.734375,18821.384765625,35837.4609375,32735.400390625,50750.42578125,15880.919921875,27113.677734375,23015.21484375,0,0
7,22161.890625,18762.23046875,35844.11328125,32697.681640625,50716.33203125,15843.9423828125,27125.744140625,23041.41796875,0,0
8,22118.546875,18695.880859375,35787.13671875,32724.16796875,50644.1875,15655.708984375,27174.333984375,23165.349609375,0,0
9,22089.21875,18712.927734375,35744.3359375,32771.8984375,50637.03125,15573.9091796875,27205.23046875,23219.515625,0,0
10,22108.24609375,18787.099609375,35771.51953125,32775.2109375,50697.16796875,15704.966796875,27158.333984375,23120.619140625,0,0
11,22149.32421875,18819.453125,35830.5234375,32731.296875,50748.375,15878.2734375,27109.71875,23006.91796875,0,0
12,22149.755859375,18754.38671875,35834.5546875,32686.04296875,50714.14453125,15844.7529296875,27120.328125,23038.724609375,0,0
13,22115.353515625,18694.474609375,35780.9296875,32718.0625,50645.8984375,15660.2158203125,27172.806640625,23163.55859375,0,0
14,22082.1875,18710.875,35737.61328125,32766.51171875,50634.48828125,15576.3642578125,27197.265625,23211.912109375,0,0
15,22098.54296875,18785.025390625,35761.1171875,32768.9921875,50692.5625,15706.921875,27155.90234375,23115.400390625,0,0
16,22141.697265625,18816.353515625,35822.48828125,32722.619140625,50746.42578125,15879.65625,27111.65234375,23012.974609375,0,0
17,22150.806640625,18760.041015625,35834.60546875,32687.35546875,50713.33203125,15845.919921875,27123.287109375,23042.46484375,0,0
18,22112.609375,18697.76171875,35782.29296875,32715.51171875,50643.96875,15659.6435546875,27173.068359375,23166.541015625,0,0
19,22079.109375,18714.90625,35738.0859375,32764.318359375,50631.76953125,15574.8154296875,27198.650390625,23215.916015625,0,0
20,22104.791015625,18788.171875,35768.98828125,32769.94921875,50699.88671875,15708.708984375,27161.505859375,23124.79296875,0,0
21,22147.134765625,18819.953125,35825.875,32727.125,50751.4296875,15873.599609375,27112.484375,23011.734375,0,0
22,22148.27734375,18761.73046875,35835.79296875,32690.07421875,50718.64453125,15849.3046875,27123.30859375,23045.302734375,0,0
23,22110.51171875,18694.259765625,35779.48046875,32717.68359375,50644.59375,15659.4765625,27172.974609375,23163.10546875,0,0
24,22077.349609375,18707.302734375,35734.9609375,32767.443359375,50630.8359375,15566.1123046875,27192.287109375,23209.837890625,0,0
25,22096.994140625,18782.306640625,35760.98046875,32776.5,50694.13671875,15701.890625,27157.40234375,23121.62109375,0,0
26,22140.07421875,18816.021484375,35821.41796875,32729.390625,50744.1796875,15870.5498046875,27105.693359375,23007.396484375,0,0
27,22145.369140625,18757.869140625,35829.76171875,32688.884765625,50714.59375,15841.818359375,27122.85546875,23046.875,0,0
28,22114.494140625,18697.072265625,35780.79296875,32721.021484375,50646.59375,15658.7138671875,27174.525390625,23170.234375,0,0
29,22077.87109375,18707.134765625,35735.30078125,32768.41796875,50631.76953125,15568.8779296875,27195.837890625,23217.181640625,0,0
30,22103.384765625,18785.478515625,35762.19921875,32772.35546875,50695.0859375,15702.177734375,27154.13671875,23116.306640625,0,0
31,22151.353515625,18820.5,35826.01953125,32730.84375,50750.83203125,15872.669921875,27114.537109375,23012.328125,0,0
32,22153.90234375,18757.75,35832.55078125,32688.21484375,50714.4921875,15842.9873046875,27123.978515625,23040.537109375,0,0
33,22118.546875,18700.83984375,35782.60546875,32718.58984375,50649.1171875,15661.646484375,27180.38671875,23168.208984375,0,0
34,22087.859375,18712.380859375,35736.75,32768.11328125,50631.98046875,15569.4267578125,27195.3125,23210.791015625,0,0
35,22111.87109375,18791.69921875,35766.51171875,32773.875,50695.9921875,15705.3720703125,27156.94921875,23120.884765625,0,0
36,22155.66796875,18828.01171875,35827.94921875,32730.484375,50748.44921875,15872.216796875,27112.24609375,23015.193359375,0,0
37,22157.505859375,18765.90234375,35835.8125,32691.912109375,50715.44921875,15842.6298828125,27121.333984375,23042.181640625,0,0
38,22120.333984375,18704.728515625,35784.48828125,32720.328125,50647.48046875,15658.7861328125,27179.505859375,23167.708984375,0,0
39,22088.625,18719.865234375,35736.65625,32770.6796875,50637.5546875,15570.974609375,27206.375,23225.40234375,0,0
40,22110.275390625,18793.396484375,35763.4296875,32774.5,50698.16796875,15704.966796875,27160.193359375,23114.255859375,0,0
41,22154.046875,18828.34375,35825.375,32733.32421875,50752.7109375,15875.9609375,27116.87109375,23011.974609375,0,0
42,22153.6875,18763.63671875,35833.67578125,32691.791015625,50716.23828125,15847.5654296875,27126.052734375,23045.041015625,0,0
43,22120.859375,18702.24609375,35782.8125,32722.166015625,50645.2109375,15666.318359375,27182.009765625,23167.32421875,0,0
44,22084.572265625,18711.712890625,35739.33203125,32771.83203125,50632.88671875,15576.505859375,27201.275390625,23215.69921875,0,0
45,22104.505859375,18790.29296875,35762.59375,32776.40625,50695.61328125,15709.734375,27163.69921875,23118.619140625,0,0
46,22150.421875,18822.912109375,35829.23828125,32730.03125,50755.60546875,15881.896484375,27118.255859375,23012.13671875,0,0
47,22155.193359375,18765.712890625,35839.20703125,32689.931640625,50721.08203125,15846.4921875,27128.056640625,23048.712890625,0,0
48,22119.072265625,18703.15234375,35785.3671875,32718.68359375,50649.71875,15659.2861328125,27177.40625,23170.1875,0,0
